No.,Product,Regsion,OS,Type,Tier,Category,Instance.Series,Series.Type,CPU.Type,CPU.Core,RAM (GB),Storage (GB),Cost (US)
1,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Bs-series,B1S,2,1,1,4,0.0164
2,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Bs-series,B2S,2,2,4,8,0.0576
3,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Bs-series,B1LS,2,1,0.5,4,0.0062
4,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Bs-series,B1MS,2,1,2,4,0.0288
5,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Bs-series,B2MS,2,2,8,16,0.107
6,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Bs-series,B4MS,2,4,16,32,0.214
7,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Bs-series,B8MS,2,8,32,64,0.429
8,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Bs-series,B12MS,2,12,48,96,0.643
9,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Bs-series,B16MS,2,16,64,128,0.858
10,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Bs-series,B20MS,2,20,80,160,1.072
11,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Av2 Standard,A1 v2,2,1,2,10,0.065
12,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Av2 Standard,A2 v2,2,2,4,20,0.136
13,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Av2 Standard,A4 v2,2,4,8,40,0.286
14,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Av2 Standard,A8 v2,2,8,16,80,0.6
15,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Av2 Standard,A2m v2,2,2,16,20,0.225
16,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Av2 Standard,A4m v2,2,4,32,40,0.45
17,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Av2 Standard,A8m v2,2,8,64,80,0.9
18,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Da v4-series,D2a v4,2,2,8,50,0.204
19,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Da v4-series,D4a v4,2,4,16,100,0.408
20,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Da v4-series,D8a v4,2,8,32,200,0.816
21,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Da v4-series,D16a v4,2,16,64,400,1.632
22,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Da v4-series,D32a v4,2,32,128,800,3.264
23,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Da v4-series,D48a v4,2,48,192,1200,4.896
24,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Da v4-series,D64a v4,2,64,256,1600,6.528
25,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Da v4-series,D96a v4,2,96,384,2400,9.792
26,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Das v4-series,D2as v4,2,2,8,16,0.204
27,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Das v4-series,D4as v4,2,4,16,32,0.408
28,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Das v4-series,D8as v4,2,8,32,64,0.816
29,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Das v4-series,D16as v4,2,16,64,128,1.632
30,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Das v4-series,D32as v4,2,32,128,256,3.264
31,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Das v4-series,D48as v4,2,48,192,384,4.896
32,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Das v4-series,D64as v4,2,64,256,512,6.528
33,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Das v4-series,D96as v4,2,96,384,768,9.792
34,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dds v4-series,D2ds v4,2,2,8,75,0.225
35,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dds v4-series,D4ds v4,2,4,16,150,0.45
36,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dds v4-series,D8ds v4,2,8,32,300,0.9
37,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dds v4-series,D16ds v4,2,16,64,600,1.8
38,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dds v4-series,D32ds v4,2,32,128,1200,3.6
39,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dds v4-series,D48ds v4,2,48,192,1800,5.4
40,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dds v4-series,D64ds v4,2,64,256,2400,7.2
41,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dd v4-series,D2d v4,2,2,8,75,0.225
42,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dd v4-series,D4d v4,2,4,16,150,0.45
43,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dd v4-series,D8d v4,2,8,32,300,0.9
44,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dd v4-series,D16d v5,2,16,64,600,1.8
45,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dd v4-series,D32d v5,2,32,128,1200,3.6
46,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dd v4-series,D48d v5,2,48,492,1800,5.4
47,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dd v4-series,D64d v6,2,64,256,2400,7.2
48,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv2-series,D1,2,1,3.5,50,1.26
49,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv2-series,D2,2,2,7,100,0.252
50,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv2-series,D3,2,4,14,200,0.504
51,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv2-series,D4,2,8,28,400,1.008
52,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv2-series,D5,2,16,56,800,2.016
53,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv2-series,DS1,2,1,3.5,7,0.126
54,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv2-series,DS2,2,2,7,14,0.252
55,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv2-series,DS3,2,4,14,28,0.504
56,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv2-series,DS4,2,8,28,56,1.008
57,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv2-series,DS5,2,16,56,112,2.016
58,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv3-series,D2,2,2,8,50,0.209
59,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv3-series,D4,2,4,16,100,0.418
60,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv3-series,D8,2,8,32,200,0.836
61,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv3-series,D16,2,16,64,400,1.672
62,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv3-series,D32,2,32,128,800,3.344
63,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv3-series,D48,2,48,192,1200,5.016
64,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv3-series,D64,2,64,256,1600,6.688
65,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv4-series,D2,2,2,8,0,0.204
66,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv4-series,D4,2,4,16,0,0.204
67,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv4-series,D8,2,8,32,0,0.816
68,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv4-series,D16,2,16,64,0,1.632
69,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv4-series,D32,2,32,128,0,3.264
70,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv4-series,D48,2,48,192,0,4.896
71,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dv4-series,D64,2,64,256,0,6.528
72,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv3-series,D2s,2,2,8,16,0.209
73,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv3-series,D4s,2,4,16,32,0.418
74,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv3-series,D8s,2,8,32,64,0.836
75,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv3-series,D16s,2,16,64,128,1.672
76,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv3-series,D32s,2,32,128,256,3.344
77,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Dsv3-series,D48s,2,48,192,384,5.016
