No.,Product,Regsion,OS,Type,Tier,Category,Instance.Series,Series.Type,CPU.Type,CPU.Core,RAM (GB),Storage (GB),Cost (US)
1,Virtual Machine,West US,Windows,OS only,Standard,General purpose,A-series,A0,1,1,0.75,20,0.02
2,Virtual Machine,West US,Windows,OS only,Standard,General purpose,A-series,A1,1,1,1.75,40,0.09
3,Virtual Machine,West US,Windows,OS only,Standard,General purpose,A-series,A2,1,2,3.5,60,0.18
4,Virtual Machine,West US,Windows,OS only,Standard,General purpose,A-series,A3,1,4,7,120,0.36
5,Virtual Machine,West US,Windows,OS only,Standard,General purpose,A-series,A4,1,8,14,240,0.72
6,Virtual Machine,West US,Windows,OS only,Standard,General purpose,A-series,A5,1,2,14,135,0.33
7,Virtual Machine,West US,Windows,OS only,Standard,General purpose,A-series,A6,1,4,28,285,0.66
8,Virtual Machine,West US,Windows,OS only,Standard,General purpose,A-series,A7,1,8,56,605,1.32
9,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Bs-series,B1S,2,1,1,4,0.0164
10,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Bs-series,B2S,2,2,4,8,0.0576
11,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Bs-series,B1LS,2,1,0.5,4,0.0062
12,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Bs-series,B1MS,2,1,2,4,0.0288
13,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Bs-series,B2MS,2,2,8,16,0.107
14,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Bs-series,B4MS,2,4,16,32,0.214
15,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Bs-series,B8MS,2,8,32,64,0.429
16,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Bs-series,B12MS,2,12,48,96,0.643
17,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Bs-series,B16MS,2,16,64,128,0.858
18,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Bs-series,B20MS,2,20,80,160,1.072
19,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Av2 Standard,A1 v2,2,1,2,10,0.065
20,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Av2 Standard,A2 v2,2,2,4,20,0.136
21,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Av2 Standard,A4 v2,2,4,8,40,0.286
22,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Av2 Standard,A8 v2,2,8,16,80,0.6
23,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Av2 Standard,A2m v2,2,2,16,20,0.225
24,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Av2 Standard,A4m v2,2,4,32,40,0.45
25,Virtual Machine,West US,Windows,OS only,Standard,General purpose,Av2 Standard,A8m v2,2,8,64,80,0.9
